original,prev3,prev2_sent,prev2_cont
214.55,214.55000000000004,214.55,214.55
211.99,211.99000000000004,211.99,211.99
159.25,160.0261025007722,160.8951413398834,161.6185596026579
119.65,114.44068153433341,112.49412120794132,102.2076060889578
121.23,121.30050129295573,119.48057708145035,122.13660256410255
94.97,98.55861478241488,99.6656382263696,93.9709313151994
112.5,116.42966243220559,111.06803968111518,118.48162351371025
131.15,131.15,131.15,131.15
