Data_publicacao,tweet
2019-02-05 01:24:00,Vale says it's temporarily halting some operations at Brucutu iron ore mine as part of court-ordered safety measure… https://t.co/xKXm9zZtSk
2019-02-01 07:55:37,|Vale's dam disaster helped spur an iron-ore rally. But the metal's deeper troubles are on the demand side, writes… https://t.co/hvXC7GvQuO|
2019-01-30 11:07:14,Iron ore jumps to the highest in nearly 2 years as the world’s biggest miner plans to close some of its operations… https://t.co/CiRVfMr7mS
2019-01-30 04:50:58,|Iron ore rockets as a supply disruption from Vale, the world’s largest producer, convulses the market… https://t.co/u0TiOiqnVo|
2019-01-28 16:47:07,|LATEST: Vale SA’s dam breach left at least 60 people dead and 292 missing in Brazil, leading the world’s biggest pr… https://t.co/zE7EJaGL0N|
2019-01-28 14:29:41,|RT @EdVanDerWalt: In markets today: Shares drop as earnings roll in Iron ore jumps after dam collapse Treasuries climb with yen Bit…|
2019-01-28 06:51:13,India is on track to produce the most iron ore in nine years  https://t.co/POPQxEdoVS
2019-01-09 15:38:13,|Iron ore's recent rally isn't sustainable, according to Goldman Sachs https://t.co/H6DTqYBqxT|
2019-01-09 07:52:06,|Iron ore's recent rally isn't sustainable, according to Goldman Sachs https://t.co/SRQnLz0615|
2018-11-14 22:59:37,Vale holds talks to expand world's biggest open-pit iron mine https://t.co/1iM3yezBrb
2018-11-12 06:28:08,Two rail crashes don't spell disaster in Australia's iron ore outback https://t.co/SEXuFiav8D
2018-11-11 09:58:59,A second Australian iron ore train has derailed in less than a week https://t.co/xYfqhw5RRZ
2018-10-30 02:23:41,The global iron ore market has a junk problem https://t.co/8ck8Bos2v6
2018-10-29 22:20:40,The global iron ore market has a junk problem https://t.co/JUI3zfmzUi
2018-10-29 03:21:32,|Rio Tinto, world’s second-biggest miner, says deal to offload its stake in $20 billion Guinea iron ore project has… https://t.co/PQUWvdjD3Q|
2018-10-17 22:15:40,|The world’s iron-ore miners have had a hell of a ride over the past decade. It ain’t over yet, says @davidfickling… https://t.co/Z3pOZL4yGb|
2018-10-10 04:22:00,Steel mills in India are increasingly tapping the global market for iron ore over logistics woes https://t.co/4zInWd2n9i
2018-08-06 11:17:56,|It’s a tale of two metals that are fundamental to China’s outlook: while iron ore’s on a tear, copper is under heav… https://t.co/fDaSM4hG8L|
2018-07-29 22:24:02,Investors in Australia look set for another dividend bonanza https://t.co/L29YYHN8GZ https://t.co/bls87Qx8Ai
2018-07-16 10:44:12,Top-grade iron ore may spike to $100 a metric ton as China intensifies a clampdown on pollution… https://t.co/kf3WfVC5AI
2018-07-16 01:30:56,Top-grade iron ore may spike to $100 a metric ton as China intensifies a clampdown on pollution… https://t.co/Zf7J2iIxns
2018-07-05 08:51:27,|Iron ore is starting to buckle, with prices falling to a 3-month low https://t.co/oUg4hvAQ7Q https://t.co/74TtZ1ZtY4|
2018-06-19 09:36:33,Steel and iron ore plunge by the most since March on escalating fears of a global trade war https://t.co/NsRYkHjTVO https://t.co/PWQRUAxQKq
2018-06-14 11:46:41,BHP gives the go ahead for $2.9 billion Australia iron ore project https://t.co/9MLqmAecfX https://t.co/qqU7gfjXoR
2018-05-04 02:00:20,China takes a step towards global iron ore pricing power https://t.co/TpNtZFAv9K https://t.co/J669CM3VOT
2018-04-25 02:22:44,It looks like iron ore will gain a boost from China's shrinking steel stockpiles https://t.co/JPq72Kke7w https://t.co/GL4znZk0GD
2018-04-24 14:08:57,It looks like iron ore will gain a boost from China's shrinking steel stockpiles https://t.co/PPiPnvCQp9 https://t.co/euYEDjQR0z
2018-04-13 03:19:22,|RT @BloombergAU: This Australian billionaire is studying a proposed 2,400-kilometer transcontinental natural gas pipeline https://t.co/grxZ…|
2018-04-10 02:00:35,Global iron ore miners have turned off the tap on adding new production capacity to feed China’s steel mills… https://t.co/Oe6s2YM9xY
2018-04-09 06:30:16,China's decade-long hunger for iron ore is about to level off https://t.co/iq5mSo63MQ https://t.co/nvF9neYiXD
2018-03-06 01:57:39,Sierra Leone will hold elections on Wednesday amid voter discontent https://t.co/uutdRcWaWi https://t.co/Cl1YPZRqF3
2018-02-26 19:07:58,Iron ore surges to a 10-month high https://t.co/bcgWlhI1hb https://t.co/TvVVuCa3MY
2018-02-22 11:27:22,|Just 2 years ago, Anglo wanted to get out of iron ore and coal. Today they’re the mining giant’s cash machines… https://t.co/FBcmppMzYR|
